Person,Interval,Pressing Round,Time,PCT Error
1,1,1,1.11,11.0
1,1,2,2.13,6.5
1,1,3,3.29,9.67
1,1,4,4.5299999999999985,13.25
1,1,5,6.04,20.8
1,3,1,2.6900000000000004,-10.33
1,3,2,5.35,-10.83
1,3,3,8.0,-11.11
1,3,4,9.99,-16.75
1,3,5,13.62,-9.2
1,5,1,5.19,3.8
1,5,2,10.57,5.7
1,5,3,14.830000000000002,-1.13
1,5,4,20.27,1.35
1,5,5,25.31,1.24
2,1,1,0.86,-14.0
2,1,2,1.91,-4.5
2,1,3,2.23,-25.67
2,1,4,3.3200000000000003,-17.0
2,1,5,3.89,-22.2
2,3,1,2.4800000000000004,-17.33
2,3,2,5.03,-16.17
2,3,3,7.500000000000001,-16.67
2,3,4,9.98,-16.83
2,3,5,12.67,-15.53
2,5,1,4.71,-5.8
2,5,2,9.38,-6.2
2,5,3,13.010000000000002,-13.27
2,5,4,18.33,-8.35
2,5,5,22.59,-9.64
3,1,1,1.01,1.0
3,1,2,2.14,7.0
3,1,3,3.08,2.67
3,1,4,3.79,-5.25
3,1,5,5.04,0.8
3,3,1,2.89,-3.67
3,3,2,5.8100000000000005,-3.17
3,3,3,8.61,-4.33
3,3,4,11.82,-1.5
3,3,5,14.33,-4.47
3,5,1,3.95,-21.0
3,5,2,7.27,-27.3
3,5,3,11.18,-25.47
3,5,4,16.150000000000002,-19.25
3,5,5,19.19,-23.24
4,1,1,0.77,-23.0
4,1,2,1.77,-11.5
4,1,3,2.39,-20.33
4,1,4,2.99,-25.25
4,1,5,3.85,-23.0
4,3,1,3.1100000000000003,3.67
4,3,2,6.14,2.33
4,3,3,9.35,3.89
4,3,4,12.38,3.17
4,3,5,15.35,2.33
4,5,1,3.55,-29.0
4,5,2,6.81,-31.9
4,5,3,10.25,-31.67
4,5,4,13.95,-30.25
4,5,5,17.57,-29.72
5,1,1,0.94,-6.0
5,1,2,1.87,-6.5
5,1,3,2.63,-12.33
5,1,4,3.61,-9.75
5,1,5,4.31,-13.8
5,3,1,2.47,-17.67
5,3,2,4.85,-19.17
5,3,3,7.500000000000001,-16.67
5,3,4,9.57,-20.25
5,3,5,11.95,-20.33
5,5,1,2.62,-47.6
5,5,2,5.12,-48.8
5,5,3,7.31,-51.27
5,5,4,10.39,-48.05
5,5,5,12.27,-50.92
6,1,1,1.04,4.0
6,1,2,2.18,9.0
6,1,3,3.11,3.67
6,1,4,3.94,-1.5
6,1,5,5.6099999999999985,12.2
6,3,1,2.43,-19.0
6,3,2,5.29,-11.83
6,3,3,6.96,-22.67
6,3,4,9.14,-23.83
6,3,5,11.45,-23.67
6,5,1,4.48,-10.4
6,5,2,9.09,-9.1
6,5,3,13.34,-11.07
6,5,4,18.24,-8.8
6,5,5,21.65,-13.4
7,1,1,1.08,8.0
7,1,2,2.13,6.5
7,1,3,3.59,19.67
7,1,4,4.5299999999999985,13.25
7,1,5,5.31,6.2
7,3,1,2.85,-5.0
7,3,2,5.76,-4.0
7,3,3,8.43,-6.33
7,3,4,11.56,-3.67
7,3,5,14.2,-5.33
7,5,1,5.5,10.0
7,5,2,10.65,6.5
7,5,3,16.04,6.93
7,5,4,21.27,6.35
7,5,5,26.7,6.8
8,1,1,1.05,5.0
8,1,2,2.0,0.0
8,1,3,3.17,5.67
8,1,4,4.38,9.5
8,1,5,5.3599999999999985,7.2
8,3,1,2.22,-26.0
8,3,2,4.55,-24.17
8,3,3,7.010000000000002,-22.11
8,3,4,8.27,-31.08
8,3,5,10.8,-28.0
8,5,1,2.52,-49.6
8,5,2,4.8599999999999985,-51.4
8,5,3,7.39,-50.73
8,5,4,9.41,-52.95
8,5,5,11.28,-54.88
9,1,1,0.92,-8.0
9,1,2,1.87,-6.5
9,1,3,3.06,2.0
9,1,4,3.73,-6.75
9,1,5,4.79,-4.2
9,3,1,2.35,-21.67
9,3,2,4.7,-21.67
9,3,3,6.83,-24.11
9,3,4,9.17,-23.58
9,3,5,11.23,-25.13
9,5,1,3.61,-27.8
9,5,2,6.86,-31.4
9,5,3,10.55,-29.67
9,5,4,14.080000000000002,-29.6
9,5,5,17.02,-31.92
10,1,1,0.98,-2.0
10,1,2,1.96,-2.0
10,1,3,2.94,-2.0
10,1,4,4.01,0.25
10,1,5,5.38,7.6
10,3,1,3.0,0.0
10,3,2,6.32,5.33
10,3,3,8.54,-5.11
10,3,4,11.87,-1.08
10,3,5,14.38,-4.13
10,5,1,4.08,-18.4
10,5,2,8.260000000000002,-17.4
10,5,3,11.35,-24.33
10,5,4,16.09,-19.55
10,5,5,18.83,-24.68
11,1,1,0.92,-8.0
11,1,2,1.95,-2.5
11,1,3,3.01,0.33
11,1,4,3.73,-6.75
11,1,5,4.26,-14.8
11,3,1,2.63,-12.33
11,3,2,5.59,-6.83
11,3,3,7.69,-14.56
11,3,4,9.74,-18.83
11,3,5,12.96,-13.6
11,5,1,4.49,-10.2
11,5,2,8.930000000000003,-10.7
11,5,3,12.56,-16.27
11,5,4,17.84,-10.8
11,5,5,21.07,-15.72
12,1,1,0.88,-12.0
12,1,2,1.93,-3.5
12,1,3,2.71,-9.67
12,1,4,3.85,-3.75
12,1,5,4.85,-3.0
12,3,1,2.9800000000000004,-0.67
12,3,2,6.05,0.83
12,3,3,8.87,-1.44
12,3,4,11.89,-0.92
12,3,5,15.2,1.33
12,5,1,4.38,-12.4
12,5,2,8.260000000000002,-17.4
12,5,3,12.63,-15.8
12,5,4,17.01,-14.95
12,5,5,20.55,-17.8
13,1,1,0.83,-17.0
13,1,2,1.62,-19.0
13,1,3,2.46,-18.0
13,1,4,3.54,-11.5
13,1,5,4.14,-17.2
13,3,1,2.5700000000000003,-14.33
13,3,2,5.07,-15.5
13,3,3,7.740000000000001,-14.0
13,3,4,10.57,-11.92
13,3,5,12.96,-13.6
13,5,1,6.15,23.0
13,5,2,12.33,23.3
13,5,3,18.43,22.87
13,5,4,25.2,26.0
13,5,5,29.520000000000003,18.08
14,1,1,0.96,-4.0
14,1,2,1.82,-9.0
14,1,3,2.96,-1.33
14,1,4,3.53,-11.75
14,1,5,5.13,2.6
14,3,1,2.99,-0.33
14,3,2,5.68,-5.33
14,3,3,8.979999999999997,-0.22
14,3,4,11.8,-1.67
14,3,5,15.070000000000002,0.47
14,5,1,6.16,23.2
14,5,2,11.77,17.7
14,5,3,18.1,20.67
14,5,4,24.05,20.25
14,5,5,29.200000000000006,16.8
15,1,1,0.94,-6.0
15,1,2,1.84,-8.0
15,1,3,2.7,-10.0
15,1,4,3.56,-11.0
15,1,5,4.47,-10.6
15,3,1,3.87,29.0
15,3,2,8.32,38.67
15,3,3,11.5,27.78
15,3,4,15.99,33.25
15,3,5,18.86,25.73
15,5,1,4.07,-18.6
15,5,2,7.729999999999999,-22.7
15,5,3,11.52,-23.2
15,5,4,16.470000000000002,-17.65
15,5,5,18.58,-25.68
16,1,1,0.98,-2.0
16,1,2,1.94,-3.0
16,1,3,2.65,-11.67
16,1,4,4.19,4.75
16,1,5,4.56,-8.8
16,3,1,2.74,-8.67
16,3,2,5.53,-7.83
16,3,3,8.16,-9.33
16,3,4,10.49,-12.58
16,3,5,13.58,-9.47
16,5,1,2.59,-48.2
16,5,2,4.95,-50.5
16,5,3,7.79,-48.07
16,5,4,9.88,-50.6
16,5,5,12.42,-50.32
17,1,1,0.93,-7.0
17,1,2,1.83,-8.5
17,1,3,3.04,1.33
17,1,4,3.39,-15.25
17,1,5,4.76,-4.8
17,3,1,1.59,-47.0
17,3,2,3.25,-45.83
17,3,3,4.48,-50.22
17,3,4,6.2,-48.33
17,3,5,8.15,-45.67
17,5,1,4.67,-6.6
17,5,2,9.510000000000002,-4.9
17,5,3,13.98,-6.8
17,5,4,18.7,-6.5
17,5,5,22.27,-10.92
18,1,1,1.02,2.0
18,1,2,2.22,11.0
18,1,3,2.86,-4.67
18,1,4,4.17,4.25
18,1,5,5.14,2.8
18,3,1,2.22,-26.0
18,3,2,4.43,-26.17
18,3,3,6.99,-22.33
18,3,4,8.959999999999997,-25.33
18,3,5,11.26,-24.93
18,5,1,4.61,-7.8
18,5,2,9.21,-7.9
18,5,3,13.67,-8.87
18,5,4,18.39,-8.05
18,5,5,21.48,-14.08
19,1,1,0.98,-2.0
19,1,2,2.08,4.0
19,1,3,2.69,-10.33
19,1,4,3.95,-1.25
19,1,5,5.41,8.2
19,3,1,2.6100000000000003,-13.0
19,3,2,5.05,-15.83
19,3,3,7.920000000000001,-12.0
19,3,4,10.27,-14.42
19,3,5,13.22,-11.87
19,5,1,4.09,-18.2
19,5,2,8.190000000000001,-18.1
19,5,3,11.9,-20.67
19,5,4,16.16,-19.2
19,5,5,19.07,-23.72
20,1,1,1.03,3.0
20,1,2,2.32,16.0
20,1,3,2.96,-1.33
20,1,4,3.93,-1.75
20,1,5,5.59,11.8
20,3,1,2.4000000000000004,-20.0
20,3,2,4.8100000000000005,-19.83
20,3,3,7.0200000000000005,-22.0
20,3,4,9.22,-23.17
20,3,5,12.03,-19.8
20,5,1,4.31,-13.8
20,5,2,8.56,-14.4
20,5,3,12.63,-15.8
20,5,4,17.21,-13.95
20,5,5,20.74,-17.04
21,1,1,0.87,-13.0
21,1,2,1.94,-3.0
21,1,3,2.38,-20.67
21,1,4,3.79,-5.25
21,1,5,4.76,-4.8
21,3,1,2.9000000000000004,-3.33
21,3,2,5.8,-3.33
21,3,3,8.709999999999999,-3.22
21,3,4,11.4,-5.0
21,3,5,13.77,-8.2
21,5,1,5.12,2.4
21,5,2,10.48,4.8
21,5,3,15.07,0.47
21,5,4,20.71,3.55
21,5,5,24.12,-3.52
22,1,1,1.03,3.0
22,1,2,1.98,-1.0
22,1,3,2.94,-2.0
22,1,4,4.46,11.5
22,1,5,5.43,8.6
22,3,1,2.71,-9.67
22,3,2,5.5200000000000005,-8.0
22,3,3,8.0,-11.11
22,3,4,10.57,-11.92
22,3,5,13.35,-11.0
22,5,1,3.83,-23.4
22,5,2,7.489999999999998,-25.1
22,5,3,11.29,-24.73
22,5,4,14.64,-26.8
22,5,5,18.36,-26.56
23,1,1,1.04,4.0
23,1,2,2.05,2.5
23,1,3,3.17,5.67
23,1,4,3.98,-0.5
23,1,5,5.22,4.4
23,3,1,3.1,3.33
23,3,2,6.51,8.5
23,3,3,9.67,7.44
23,3,4,12.58,4.83
23,3,5,15.37,2.47
23,5,1,4.2,-16.0
23,5,2,8.510000000000002,-14.9
23,5,3,12.23,-18.47
23,5,4,16.560000000000002,-17.2
23,5,5,19.59,-21.64
24,1,1,0.88,-12.0
24,1,2,1.76,-12.0
24,1,3,2.83,-5.67
24,1,4,3.56,-11.0
24,1,5,3.95,-21.0
24,3,1,2.6,-13.33
24,3,2,5.15,-14.17
24,3,3,8.209999999999999,-8.78
24,3,4,10.17,-15.25
24,3,5,12.82,-14.53
24,5,1,6.68,33.6
24,5,2,12.53,25.3
24,5,3,20.53,36.87
24,5,4,26.12,30.6
24,5,5,31.630000000000006,26.52
25,1,1,1.14,14.0
25,1,2,2.32,16.0
25,1,3,3.19,6.33
25,1,4,4.42,10.5
25,1,5,5.99,19.8
25,3,1,2.85,-5.0
25,3,2,6.13,2.17
25,3,3,8.79,-2.33
25,3,4,11.25,-6.25
25,3,5,13.85,-7.67
25,5,1,3.51,-29.8
25,5,2,6.97,-30.3
25,5,3,9.78,-34.8
25,5,4,13.46,-32.7
25,5,5,16.85,-32.6
26,1,1,1.27,27.0
26,1,2,2.59,29.5
26,1,3,4.1,36.67
26,1,4,5.35,33.75
26,1,5,6.84,36.8
26,3,1,2.56,-14.67
26,3,2,5.39,-10.17
26,3,3,7.2,-20.0
26,3,4,10.14,-15.5
26,3,5,12.69,-15.4
26,5,1,2.63,-47.4
26,5,2,5.0699999999999985,-49.3
26,5,3,7.839999999999999,-47.73
26,5,4,10.260000000000002,-48.7
26,5,5,11.83,-52.68
27,1,1,0.95,-5.0
27,1,2,1.86,-7.0
27,1,3,2.56,-14.67
27,1,4,3.53,-11.75
27,1,5,4.65,-7.0
27,3,1,2.26,-24.67
27,3,2,4.35,-27.5
27,3,3,6.95,-22.78
27,3,4,8.81,-26.58
27,3,5,11.31,-24.6
27,5,1,4.09,-18.2
27,5,2,7.61,-23.9
27,5,3,11.9,-20.67
27,5,4,16.17,-19.15
27,5,5,19.1,-23.6
28,1,1,1.02,2.0
28,1,2,2.22,11.0
28,1,3,3.14,4.67
28,1,4,4.42,10.5
28,1,5,5.25,5.0
28,3,1,3.28,9.33
28,3,2,6.45,7.5
28,3,3,9.81,9.0
28,3,4,12.9,7.5
28,3,5,16.279999999999998,8.53
28,5,1,4.89,-2.2
28,5,2,9.78,-2.2
28,5,3,14.12,-5.87
28,5,4,19.94,-0.3
28,5,5,23.6,-5.6
29,1,1,1.02,2.0
29,1,2,1.97,-1.5
29,1,3,3.16,5.33
29,1,4,4.4,10.0
29,1,5,4.83,-3.4
29,3,1,1.71,-43.0
29,3,2,3.43,-42.83
29,3,3,4.760000000000002,-47.11
29,3,4,6.86,-42.83
29,3,5,8.26,-44.93
29,5,1,4.65,-7.0
29,5,2,9.15,-8.5
29,5,3,13.03,-13.13
29,5,4,18.54,-7.3
29,5,5,22.56,-9.76
30,1,1,1.01,1.0
30,1,2,2.01,0.5
30,1,3,3.09,3.0
30,1,4,3.72,-7.0
30,1,5,5.3,6.0
30,3,1,2.77,-7.67
30,3,2,5.85,-2.5
30,3,3,8.059999999999999,-10.44
30,3,4,11.03,-8.08
30,3,5,14.13,-5.8
30,5,1,3.68,-26.4
30,5,2,6.829999999999999,-31.7
30,5,3,10.77,-28.2
30,5,4,14.73,-26.35
30,5,5,17.6,-29.6
31,1,1,1.04,4.0
31,1,2,2.09,4.5
31,1,3,3.17,5.67
31,1,4,4.409999999999998,10.25
31,1,5,5.13,2.6
31,3,1,3.1100000000000003,3.67
31,3,2,6.0600000000000005,1.0
31,3,3,9.36,4.0
31,3,4,12.54,4.5
31,3,5,15.53,3.53
31,5,1,5.26,5.2
31,5,2,9.91,-0.9
31,5,3,15.27,1.8
31,5,4,20.27,1.35
31,5,5,24.44,-2.24
32,1,1,1.02,2.0
32,1,2,1.96,-2.0
32,1,3,3.05,1.67
32,1,4,4.0699999999999985,1.75
32,1,5,5.26,5.2
32,3,1,2.6100000000000003,-13.0
32,3,2,5.28,-12.0
32,3,3,7.8199999999999985,-13.11
32,3,4,10.26,-14.5
32,3,5,13.06,-12.93
32,5,1,5.06,1.2
32,5,2,9.78,-2.2
32,5,3,14.330000000000002,-4.47
32,5,4,20.37,1.85
32,5,5,24.79,-0.84
33,1,1,0.94,-6.0
33,1,2,1.88,-6.0
33,1,3,2.69,-10.33
33,1,4,3.44,-14.0
33,1,5,4.49,-10.2
33,3,1,2.6900000000000004,-10.33
33,3,2,5.46,-9.0
33,3,3,8.319999999999999,-7.56
33,3,4,10.62,-11.5
33,3,5,13.72,-8.53
33,5,1,3.65,-27.0
33,5,2,6.8,-32.0
33,5,3,11.03,-26.47
33,5,4,14.04,-29.8
33,5,5,17.18,-31.28
34,1,1,0.7799999999999999,-22.0
34,1,2,1.52,-24.0
34,1,3,2.13,-29.0
34,1,4,2.9,-27.5
34,1,5,3.39,-32.2
34,3,1,3.2300000000000004,7.67
34,3,2,6.61,10.17
34,3,3,10.01,11.22
34,3,4,13.38,11.5
34,3,5,15.94,6.27
34,5,1,4.63,-7.4
34,5,2,8.870000000000003,-11.3
34,5,3,13.56,-9.6
34,5,4,18.62,-6.9
34,5,5,22.02,-11.92
35,1,1,0.64,-36.0
35,1,2,1.49,-25.5
35,1,3,1.81,-39.67
35,1,4,2.76,-31.0
35,1,5,3.59,-28.2
35,3,1,3.2300000000000004,7.67
35,3,2,6.19,3.17
35,3,3,10.01,11.22
35,3,4,12.95,7.92
35,3,5,15.65,4.33
35,5,1,5.34,6.8
35,5,2,10.760000000000002,7.6
35,5,3,15.09,0.6
35,5,4,21.56,7.8
35,5,5,25.68,2.72
36,1,1,1.09,9.0
36,1,2,2.16,8.0
36,1,3,3.04,1.33
36,1,4,4.64,16.0
36,1,5,5.81,16.2
36,3,1,2.67,-11.0
36,3,2,5.47,-8.83
36,3,3,7.95,-11.67
36,3,4,10.46,-12.83
36,3,5,13.45,-10.33
36,5,1,5.43,8.6
36,5,2,10.96,9.6
36,5,3,15.990000000000002,6.6
36,5,4,22.04,10.2
36,5,5,25.12,0.48
37,1,1,0.7799999999999999,-22.0
37,1,2,1.5799999999999998,-21.0
37,1,3,2.1,-30.0
37,1,4,3.26,-18.5
37,1,5,4.2,-16.0
37,3,1,2.78,-7.33
37,3,2,5.5,-8.33
37,3,3,8.26,-8.22
37,3,4,10.71,-10.75
37,3,5,14.09,-6.07
37,5,1,5.21,4.2
37,5,2,9.62,-3.8
37,5,3,15.38,2.53
37,5,4,20.49,2.45
37,5,5,25.02,0.08
38,1,1,0.94,-6.0
38,1,2,1.8,-10.0
38,1,3,2.87,-4.33
38,1,4,3.99,-0.25
38,1,5,4.97,-0.6
38,3,1,2.7,-10.0
38,3,2,5.22,-13.0
38,3,3,7.990000000000001,-11.22
38,3,4,10.29,-14.25
38,3,5,13.3,-11.33
38,5,1,3.78,-24.4
38,5,2,7.62,-23.8
38,5,3,10.7,-28.67
38,5,4,14.63,-26.85
38,5,5,18.07,-27.72
39,1,1,1.31,31.0
39,1,2,2.39,19.5
39,1,3,3.73,24.33
39,1,4,5.02,25.5
39,1,5,6.43,28.6
39,3,1,2.42,-19.33
39,3,2,4.73,-21.17
39,3,3,7.04,-21.78
39,3,4,9.39,-21.75
39,3,5,11.96,-20.27
39,5,1,3.5700000000000003,-28.6
39,5,2,7.29,-27.1
39,5,3,10.04,-33.07
39,5,4,14.03,-29.85
39,5,5,17.38,-30.48
40,1,1,0.83,-17.0
40,1,2,1.67,-16.5
40,1,3,2.77,-7.67
40,1,4,2.92,-27.0
40,1,5,4.3,-14.0
40,3,1,2.54,-15.33
40,3,2,4.7700000000000005,-20.5
40,3,3,7.77,-13.67
40,3,4,9.89,-17.58
40,3,5,12.72,-15.2
